,Major,EarlyCareerPay,MidCareerPay
572,Philosophy & Religious Studies,49300,74900
573,Radiology,54800,74900
574,Medical Laboratory Technology,56900,74400
575,Sports Management,45400,74400
576,Anthropology & English,48000,74300
577,Broadcast Communication,40000,74300
578,Criminology,44700,74300
579,Earth Science,50000,74300
580,Media & Technology,45200,74300
581,Visual Communications,45400,74300
582,Advertising & Graphic Design,46800,74200
583,Applied Behavior Analysis,38700,74200
584,Psychology,44700,74200
585,Applied Management,45500,74100
586,Hotel & Restaurant Management,47300,74100
587,Anthropology,46400,73900
588,Arts Management,39400,73800
589,Diagnostic Medical Imaging,60600,73800
590,Communication Arts,42400,73600
591,Middle Eastern Studies,57100,73600
592,Radiologic Technology,55200,73600
593,Painting & Printmaking,34700,73600
594,Cardiopulmonary Science,48900,73400
595,Human Relations,45000,73400
596,Humanities,48500,73200
597,Health Care Administration,45800,73100
598,Health Care Management,46700,73000
599,Life Sciences,53100,73000
600,Ecology,46400,72900
601,Media Arts,46500,72900
602,Respiratory Care,54800,72800
603,Art & Design,45100,72700
604,Health Information Management,49000,72700
605,Hospitality Management,46400,72700
606,Health Teacher Education,37900,72600
607,Sports Medicine,50100,72600
608,Multimedia & Web Design,50200,72600
609,Sociology,46200,72500
610,Liberal Studies,44300,72400
611,Interior Design,45100,72300
612,Medical Laboratory Science,55600,72300
613,Secondary Education,44600,72300
614,Child Psychology,38900,72200
615,Exercise Physiology,44100,72200
616,Radiography,55300,72200
617,Archaeology,45900,72100
618,Art Administration,40200,72100
619,Hotel & Restaurant Tourism,44300,72100
620,Illustration,45200,72100
621,Arts & Science,45700,71900
622,Health,44200,71900
623,Turfgrass Management,53100,71900
624,Animal Science & Management,44200,71800
625,SocialStudies,45800,71700
626,Human Resources Development,48600,71600
627,Speech Pathology & Audiology,44100,71600
628,Clinical Laboratory Science,55100,71500
629,Forensic Science,46000,71500
630,Health Administration,42700,71500
631,Geomatics,52300,71400
632,Media Communication,47000,71400
633,Health Management,45100,71300
634,Commercial Photography,43800,71300
635,Fashion Design & Marketing,45300,71100
636,Mass Media,40300,71100
637,Medical Technology,56500,71000
638,Respiratory Therapy,54500,70900
639,Theater,44600,70700
640,Forensic Psychology,43000,70600
641,Kinesiology,44800,70600
642,Performing Arts,45700,70500
643,Psychology & Social Behavior,45800,70500
644,Religion,44400,70500
645,Radio & Television,43100,70500
646,Technology Teacher Education,47700,70400
647,Educational Studies (ED),40300,70200
648,Music,44300,70200
649,Business Leadership,50100,70200
650,Drafting & Design,51000,70100
651,Plant Sciences,48000,70100
652,Criminal Justice,42800,69800
653,Web Design,49900,69800
