,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
16,Rank:192,Major:Building Construction Management,Degree Type:Bachelors,"$61,300","$102,400",63%
17,Rank:193,Major:Engineering Technology (ET),Degree Type:Bachelors,"$58,400","$102,300",47%
18,Rank:194,Major:International Relations,Degree Type:Bachelors,"$52,800","$102,200",49%
19,Rank:194,Major:Management & Finance,Degree Type:Bachelors,"$56,800","$102,200",59%
20,Rank:194,Major:Information Security,Degree Type:Bachelors,"$66,400","$102,200",48%
21,Rank:197,Major:Business Operations,Degree Type:Bachelors,"$63,500","$102,100",-
22,Rank:198,Major:Industrial Management,Degree Type:Bachelors,"$57,800","$102,000",53%
23,Rank:199,Major:Architectural Engineering,Degree Type:Bachelors,"$65,000","$101,900",58%
24,Rank:199,Major:Hotel Administration,Degree Type:Bachelors,"$64,900","$101,900",35%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:201,Major:Manufacturing,Degree Type:Bachelors,"$57,600","$101,500",48%
1,Rank:202,Major:Agricultural Economics & Business,Degree Type:Bachelors,"$54,900","$101,400",56%
2,Rank:203,Major:Web Development,Degree Type:Bachelors,"$56,400","$101,300",46%
3,Rank:204,Major:Aviation,Degree Type:Bachelors,"$54,000","$101,200",48%
4,Rank:204,Major:Telecommunications Management,Degree Type:Bachelors,"$55,000","$101,200",42%
5,Rank:206,Major:Property Management,Degree Type:Bachelors,"$55,200","$101,000",47%
6,Rank:207,Major:Comparative Literature,Degree Type:Bachelors,"$48,100","$100,900",46%
7,Rank:208,Major:Construction Science & Management,Degree Type:Bachelors,"$64,700","$100,800",71%
8,Rank:209,Major:Biotechnology,Degree Type:Bachelors,"$53,100","$100,700",59%
9,Rank:210,Major:Industrial & Labor Relations,Degree Type:Bachelors,"$69,800","$100,600",44%
10,Rank:210,Major:Real Estate,Degree Type:Bachelors,"$59,900","$100,600",36%
11,Rank:212,Major:Mechanical Engineering Technology (MET),Degree Type:Bachelors,"$64,200","$100,400",48%
12,Rank:213,Major:Labor Relations,Degree Type:Bachelors,"$53,000","$100,300",41%
13,Rank:214,Major:Electronics,Degree Type:Bachelors,"$57,500","$100,200",63%
14,Rank:215,Major:Biochemistry (BCH),Degree Type:Bachelors,"$50,400","$99,900",62%
15,Rank:215,Major:Politics,Degree Type:Bachelors,"$53,000","$99,900",51%
16,Rank:217,Major:Accounting & Auditing,Degree Type:Bachelors,"$57,800","$99,800",45%
17,Rank:218,Major:Chinese Language,Degree Type:Bachelors,"$54,200","$99,600",43%
18,Rank:219,Major:Information Science (IS),Degree Type:Bachelors,"$66,300","$99,500",36%
19,Rank:220,Major:East Asian Studies,Degree Type:Bachelors,"$49,800","$99,400",42%
20,Rank:221,Major:Accounting & Finance,Degree Type:Bachelors,"$59,200","$99,300",45%
21,Rank:221,Major:Network Security,Degree Type:Bachelors,"$62,300","$99,300",50%
22,Rank:223,Major:Information Technology (IT),Degree Type:Bachelors,"$59,100","$99,200",46%
23,Rank:224,Major:Aviation Management,Degree Type:Bachelors,"$50,900","$99,100",58%
24,Rank:224,Major:Occupational Health and Safety,Degree Type:Bachelors,"$59,900","$99,100",69%
,Rank,Major,Degree Type,Early Career Pay,Mid Career Pay,% High Meaning
0,Rank:226,Major:Agribusiness,Degree Type:Bachelors,"$50,700","$98,900",53%
1,Rank:226,Major:Business & Marketing,Degree Type:Bachelors,"$51,000","$98,900",45%
2,Rank:226,Major:Computer Engineering Technology (CET),Degree Type:Bachelors,"$63,000","$98,900",47%
3,Rank:229,Major:Computer Security,Degree Type:Bachelors,"$68,100","$98,700",43%
4,Rank:230,Major:Operations & Supply Chain Management,Degree Type:Bachelors,"$61,300","$98,600",45%
5,Rank:231,Major:Entomology,Degree Type:Bachelors,"$45,900","$98,500",-
6,Rank:232,Major:Music Production & Engineering,Degree Type:Bachelors,"$43,100","$98,400",43%
7,Rank:232,Major:Industrial Engineering Technology,Degree Type:Bachelors,"$67,200","$98,400",53%
8,Rank:234,Major:Logistics & Supply Chain Management,Degree Type:Bachelors,"$59,000","$98,300",47%
9,Rank:234,Major:Supply Chain Management,Degree Type:Bachelors,"$61,700","$98,300",41%
10,Rank:234,Major:Accounts,Degree Type:Bachelors,"$59,800","$98,300",44%
11,Rank:237,Major:Economics & Management,Degree Type:Bachelors,"$54,400","$98,200",-
12,Rank:237,Major:Environmental Policy Analysis & Planning,Degree Type:Bachelors,"$51,000","$98,200",65%
13,Rank:237,Major:Physical Therapy,Degree Type:Bachelors,"$55,500","$98,200",88%
14,Rank:240,Major:European History,Degree Type:Bachelors,"$52,300","$98,000",47%
15,Rank:240,Major:Robotics & Automation,Degree Type:Bachelors,"$66,100","$98,000",63%
16,Rank:242,Major:Geological Engineering,Degree Type:Bachelors,"$61,700","$97,900",54%
